artista,cancion,album,año,spotify_id,popularidad
Ed Sheeran,I Don't Care (with Justin Bieber),No.6 Collaborations Project,2019,0hVXuCcriWRGvwMV1r5Yn9,73
John Legend,What Christmas Means to Me (feat. Stevie Wonder),A Legendary Christmas,2019,13XMz3rpVYITzjFIsSYlZ1,76
Clean Bandit,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),2018,72gv4zhNvRVdQA0eOenCal,76
JAWNY,Honeypie,For Abby,2020,6FfLg6FFqhCsrFOaHIGkg0,76
Ed Sheeran,Merry Christmas,Merry Christmas,2021,3bH2Eu9A9ymI4UnGHRmoXg,81
DaBaby,BOP,KIRK,2019,6Ozh9Ok6h4Oi1wUSLtBseN,74
Sia,Candy Cane Lane,Everyday Is Christmas (Deluxe Edition),2018,4KevTcBXEIYxXVyPE78XXm,73
Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Isolation,2018,1otG6j1WHNvl9WgXLWkHTo,79
LAGOS,Mónaco,Clásicos,2021,3HgvO4B5LLmdPOT2d8cSZd,76
Sean Paul,Get Busy,Dutty Rock (20th Anniversary),2022,6bK9BH9Ts8Gj5JFvnQkzak,75
Taylor Swift,You Need To Calm Down,Lover,2019,6RRNNciQGZEXnqk8SQ9yv5,75
Labrinth,Formula,Euphoria (Original Score from the HBO Series),2019,6EtKlIQmGPB9SX8UjDJG5s,76
Lana Del Rey,Doin' Time,Norman Fucking Rockwell!,2019,0Oqc0kKFsQ6MhFOLBNZIGX,76
"Dream, Ivory",welcome and goodbye,welcome and goodbye,2018,00RLNHc2jkEjUoCUlFgPVT,81
Feid,X19X,FERXXO (VOL 1: M.O.R),2020,51CGbL9BAw1896waeHoR9w,65
Conan Gray,Memories,Superache,2022,5UXJzLFdBn6u9FJTCnoHrH,77
Beach Bunny,Prom Queen,Prom Queen,2018,6GJdFTOm23lC5bqjYSMJTj,78
Cigarettes After Sex,Heavenly,Cry,2019,70YTBH8vOGJNMhy6186yFm,77
Emilia,cuatro veinte,Tú crees en mí?,2022,3ushwCdjpWNdSnZgRFU6Oc,62
James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),Rewrite The Stars (with James Arthur & Anne-Marie),2018,6mQLN3zRtAp6ovjusyYKrV,76
benny blanco,Eastside (with Halsey & Khalid),FRIENDS KEEP SECRETS,2018,7FGq80cy8juXBCD2nrqdWU,78
Billie Eilish,No Time To Die,No Time To Die,2020,73SpzrcaHk0RQPFP73vqVR,74
